Keyword,Views,lang,Top 3 Pages,Class
bitget,16149799.0,nl,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
510000.0: https://www.youtube.com/watch?v=Hem2e4xWpo8&pp=ygUGQml0Z2V0",Bitget
crypto,14530203.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
1060000.0: https://www.youtube.com/watch?v=MmzVQlXqMU0&pp=ygUGQml0Z2V0",Bitget
telegram,13747068.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
2980000.0: https://www.youtube.com/watch?v=hkc8NBPvZjc&pp=ygUGQml0Z2V0
470000.0: https://www.youtube.com/watch?v=AzbBo2oOgJI&pp=ygUGQml0Z2V0",Bitget
bitcoin,12528467.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
1060000.0: https://www.youtube.com/watch?v=MmzVQlXqMU0&pp=ygUGQml0Z2V0
770000.0: https://www.youtube.com/watch?v=QphCuvkUqr4&pp=ygUGQml0Z2V0",Bitget
cryptonews,12150467.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
1060000.0: https://www.youtube.com/watch?v=MmzVQlXqMU0&pp=ygUGQml0Z2V0
770000.0: https://www.youtube.com/watch?v=QphCuvkUqr4&pp=ygUGQml0Z2V0",Bitget
btc,12083864.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
1060000.0: https://www.youtube.com/watch?v=MmzVQlXqMU0&pp=ygUGQml0Z2V0
770000.0: https://www.youtube.com/watch?v=QphCuvkUqr4&pp=ygUGQml0Z2V0",Bitget
cryptocurrency,11033701.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
200000.0: https://www.youtube.com/watch?v=-dTVCbocrdk&pp=ygUGQml0Z2V0
120000.0: https://www.youtube.com/watch?v=uS-p4L88BSg&pp=ygUGQml0Z2V0",Bitget
hamsterkombat,10454347.0,id,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
58000.0: https://www.youtube.com/watch?v=v7j40CB6_IQ&pp=ygUGQml0Z2V0
44000.0: https://www.youtube.com/watch?v=RWDw2ovWuLk&pp=ygUGQml0Z2V0",Bitget
cryptoexchange,10249107.0,nl,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
96000.0: https://www.youtube.com/watch?v=tQBTUSMzi1I&pp=ygUGQml0Z2V0
13000.0: https://www.youtube.com/watch?v=59evD1qJ1Yw&pp=ygUGQml0Z2V0",Bitget
defi,10240000.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
100000.0: https://www.youtube.com/watch?v=nEW4xC7nWKk&pp=ygUGQml0Z2V0
6663.0: https://www.youtube.com/watch?v=QKM6nUyaWb4&pp=ygUGQml0Z2V0",Bitget
cryptocurrencies,10196064.0,es,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
27000.0: https://www.youtube.com/watch?v=B1jjqsNrKfY&pp=ygUGQml0Z2V0
12000.0: https://www.youtube.com/watch?v=hKKcypYzR1s&pp=ygUGQml0Z2V0",Bitget
ton,10182048.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
1060000.0: https://www.youtube.com/watch?v=MmzVQlXqMU0&pp=ygUGQml0Z2V0
770000.0: https://www.youtube.com/watch?v=QphCuvkUqr4&pp=ygUGQml0Z2V0",Bitget
hack,10173000.0,en,"10140000.0: https://www.youtube.com/watch?v=l5vXGGl8SI8&pp=ygUGQml0Z2V0
33000.0: https://www.youtube.com/watch?v=eZKF5RGdSBQ&pp=ygUGQml0Z2V0",Bitget
